Issue Type,Summary,Epic Name,Epic Link,Description,Labels
Epic,Repository scaffolding & exclusion controls,ZIXHR Scaffolding,,"Establish repository scaffolding and exclusion controls: .gitignore and wp-config-sample.php.",zixhr-wp-workflow
Story,Author .gitignore (Ignore_File),,ZIXHR Scaffolding,"Create .gitignore at repo root excluding wp-config.php, wp-content/uploads/ (recursive), and local noise (*.log, .DS_Store). Requirements: 1.2, 6.3",zixhr-wp-workflow
Story,Author wp-config-sample.php (Sample_Config),,ZIXHR Scaffolding,"Create committed template with placeholder DB credentials, auth keys, and salts only; no live secrets. Requirements: 1.3, 1.4",zixhr-wp-workflow
Story,[Optional] Property test: uploads paths never tracked by Git,,ZIXHR Scaffolding,"Property 4. Generate arbitrary paths under wp-content/uploads/; assert none appear in staged/committed set (>=100 iterations). Validates: 6.3, 6.4",zixhr-wp-workflow;optional;test
Epic,Deploy script logic (scripts/deploy.sh),ZIXHR Deploy Logic,,"Implement the deploy engine in fixed authenticate -> backup -> sync -> finalize order.",zixhr-wp-workflow
Story,"Implement script skeleton, DeployContext, and logging",,ZIXHR Deploy Logic,"Create scripts/deploy.sh with set -euo pipefail, context vars, log() helper, main() calling authenticate->backup->sync->finalize. Requirements: 3.5",zixhr-wp-workflow
Story,Implement authenticate() stage,,ZIXHR Deploy Logic,"SSH with ConnectTimeout=30, up to 3 attempts; on exhaustion log auth-failure and return non-zero so backup/sync never run. Requirements: 3.2, 3.4",zixhr-wp-workflow
Story,Implement backup() stage (Pre_Deploy_Backup),,ZIXHR Deploy Logic,"Timestamped tar (+ optional mysqldump) before any mutation; on failure log backup-failure and abort before sync. Requirements: 5.1, 5.2",zixhr-wp-workflow
Story,Implement sync() stage (Deploy_Sync),,ZIXHR Deploy Logic,"rsync -az --delete excluding wp-config.php, wp-content/uploads, .git; warn (never create) if wp-config.php absent; log sync-failure on error. Requirements: 3.5, 4.1-4.5",zixhr-wp-workflow
Story,Implement finalize() stage (post-sync restoration),,ZIXHR Deploy Logic,"chown -R www-data, chmod 755 dirs / 644 files, wp cache flush under timeout 60; on failure name the failed step. Requirements: 5.3, 5.4, 5.5, 5.6",zixhr-wp-workflow
Story,[Optional] Property test: sync partition (dry-run transfer list),,ZIXHR Deploy Logic,"Property 1. rsync -n with exact excludes; assert transfer list omits wp-config.php and wp-content/uploads (>=100 iterations). Validates: 3.5, 4.1-4.5",zixhr-wp-workflow;optional;test
Story,[Optional] Property test: excluded-asset preservation (sandbox),,ZIXHR Deploy Logic,"Property 1. Seed temp /var/www/html; assert wp-config.php and uploads byte-identical with unchanged perms after success and failure (>=100 iterations). Validates: 4.1, 4.2, 4.5",zixhr-wp-workflow;optional;test
Story,[Optional] Property test: backup-precedes-mutation ordering,,ZIXHR Deploy Logic,"Property 2. Assert sync only runs after backup succeeds; forced backup failure leaves sandbox unchanged (>=100 iterations). Validates: 5.1, 5.2",zixhr-wp-workflow;optional;test
Story,[Optional] Property test: post-sync file-state normalization,,ZIXHR Deploy Logic,"Property 3. After sandbox sync assert dirs 755, files 644, owned by web-server account (>=100 iterations). Validates: 5.3, 5.4",zixhr-wp-workflow;optional;test
Story,[Optional] Unit tests for deploy error branches,,ZIXHR Deploy Logic,"Cover auth failure after 3 attempts (3.4), sync-failure reporting (3.6), missing wp-config.php warning (4.4), backup-failure abort (5.2), post-sync step naming (5.6). Requirements: 3.4, 3.6, 4.4, 5.2, 5.6",zixhr-wp-workflow;optional;test
Epic,Deploy-logic test checkpoint,ZIXHR Deploy Checkpoint,,"Checkpoint: ensure all deploy-logic tests pass before proceeding.",zixhr-wp-workflow
